ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
COMPASS CHARTER SCHOOL OF YOLO DISTRICT,CALIFORNIA,CALIFORNIA,="0602521",Ventura County,620,22.76,27.24
COMPASS CHARTER SCHOOLS OF LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0601790",Ventura County,832,34.35,24.22
COMPASS CHARTER SCHOOLS OF SAN DIEGO DISTRICT,CALIFORNIA,CALIFORNIA,="0601517",Ventura County,997,45.86,21.74
COMPTON UNIFIED,California,CALIFORNIA,="0609620",Los Angeles County,19179,812.05,23.62
COMPTON UNIFIED ROP,California,CALIFORNIA,="0600113",Los Angeles County,="0",–,–
CONEJO VALLEY UNIFIED,California,CALIFORNIA,="0609640",Ventura County,17397,798.26,21.79
CONNECT COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602357",San Mateo County,163,9.10,17.91
CONNECTING WATERS CHARTER - EAST BAY DISTRICT,CALIFORNIA,CALIFORNIA,="0602159",Alameda County,534,39.76,13.43
CONNECTING WATERS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602170",Stanislaus County,1068,77.08,13.86
CONNECTING WATERS CHARTER SCHOOL - CENTRAL VALLEY DISTRICT,CALIFORNIA,CALIFORNIA,="0602406",Stanislaus County,648,43.02,15.06
CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601819",Alameda County,55,4.00,13.75
CONTRA COSTA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691005",Contra Costa County,374,44.00,8.50
CONTRA COSTA COUNTY ROP,California,CALIFORNIA,="0600092",Contra Costa County,="0",–,–
CONTRA COSTA SCHOOL OF PERFORMING ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602336",Contra Costa County,460,21.10,21.80
CONTRA COSTA SELPA,California,CALIFORNIA,="0601349",Contra Costa County,†,†,†
CORCORAN JOINT UNIFIED,California,CALIFORNIA,="0609690",Kings County,3257,151.00,21.57
CORE BUTTE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601843",Butte County,895,48.64,18.40
CORE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601734",Yuba County,522,21.58,24.19
CORNING UNION ELEMENTARY,California,CALIFORNIA,="0609780",Tehama County,1986,86.71,22.90
CORNING UNION HIGH,California,CALIFORNIA,="0609810",Tehama County,1093,57.34,19.06
CORONA-NORCO UNIFIED,California,CALIFORNIA,="0609850",Riverside County,51318,2062.96,24.88
CORONADO UNIFIED,California,CALIFORNIA,="0609870",San Diego County,2608,135.59,19.23
COTATI-ROHNERT PARK UNIFIED,California,CALIFORNIA,="0609940",Sonoma County,5717,250.33,22.84
COTTONWOOD CREEK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601811",Shasta County,245,10.16,24.11
COTTONWOOD DISTRICT,CALIFORNIA,CALIFORNIA,="0602524",El Dorado County,2372,87.55,27.09
COTTONWOOD UNION ELEMENTARY,California,CALIFORNIA,="0609990",Shasta County,947,47.01,20.14
COUNTY COLLABORATIVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601639",San Diego County,167,6.98,23.93
COVINA-VALLEY UNIFIED,California,CALIFORNIA,="0610050",Los Angeles County,11332,492.22,23.02
COX ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601718",Alameda County,581,25.00,23.24
CREATIVE ARTS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602155",San Francisco County,422,23.30,18.11
CREDO HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602269",Sonoma County,394,25.55,15.42
CREEKSIDE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601511",Placer County,209,11.00,19.00
CRESCENT VALLEY PUBLIC CHARTER II DISTRICT,CALIFORNIA,CALIFORNIA,="0601485",Tulare County,557,17.96,31.01
CRESCENT VIEW SOUTH II DISTRICT,CALIFORNIA,CALIFORNIA,="0602395",Fresno County,1083,33.83,32.01
CRESCENT VIEW WEST PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601677",Fresno County,1710,62.65,27.29
CRETE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601470",Los Angeles County,155,8.50,18.24
CROWN PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601849",Los Angeles County,445,26.00,17.12
CUCAMONGA ELEMENTARY,California,CALIFORNIA,="0616300",San Bernardino County,2359,108.67,21.71
CUDDEBACK UNION ELEMENTARY,California,CALIFORNIA,="0610230",Humboldt County,133,7.00,19.00
CULVER CITY UNIFIED,California,CALIFORNIA,="0610260",Los Angeles County,7076,301.11,23.50
CUPERTINO UNION,California,CALIFORNIA,="0610290",Santa Clara County,15663,686.09,22.83
CURTIS CREEK ELEMENTARY,California,CALIFORNIA,="0610320",Tuolumne County,431,21.64,19.92
CUTLER-OROSI JOINT UNIFIED,California,CALIFORNIA,="0610350",Tulare County,4007,180.54,22.19
CUTTEN ELEMENTARY,California,CALIFORNIA,="0610380",Humboldt County,582,29.60,19.66
CUYAMA JOINT UNIFIED,California,CALIFORNIA,="0600009",Santa Barbara County,183,11.83,15.47
CYPRESS ELEMENTARY,California,CALIFORNIA,="0610440",Orange County,3540,142.28,24.88
DA VINCI COMMUNICATIONS DISTRICT,CALIFORNIA,CALIFORNIA,="0601505",Los Angeles County,609,23.24,26.20
DA VINCI CONNECT DISTRICT,CALIFORNIA,CALIFORNIA,="0602293",Los Angeles County,533,15.80,33.73
DA VINCI DESIGN DISTRICT,CALIFORNIA,CALIFORNIA,="0601973",Los Angeles County,538,25.73,20.91
DA VINCI RISE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602215",Los Angeles County,219,8.20,26.71
DA VINCI SCIENCE DISTRICT,CALIFORNIA,CALIFORNIA,="0602416",Los Angeles County,576,24.53,23.48
DARNALL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602364",San Diego County,610,29.00,21.03
DAVIS JOINT UNIFIED,California,CALIFORNIA,="0610620",Yolo County,8229,394.15,20.88
DEATH VALLEY UNIFIED,California,CALIFORNIA,="0610680",Inyo County,20,2.00,10.00
DEHESA ELEMENTARY,California,CALIFORNIA,="0610710",San Diego County,124,7.00,17.71
DEL MAR UNION ELEMENTARY,California,CALIFORNIA,="0610740",San Diego County,3853,202.22,19.05
DEL NORTE COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691063",Del Norte County,429,20.40,21.03
DEL NORTE COUNTY ROP,California,CALIFORNIA,="0600093",Del Norte County,="0",–,–
DEL NORTE COUNTY UNIFIED,California,CALIFORNIA,="0610770",Del Norte County,3564,162.11,21.99
DELANO JOINT UNION HIGH,California,CALIFORNIA,="0610860",Kern County,4222,174.19,24.24
DELANO UNION ELEMENTARY,California,CALIFORNIA,="0610890",Kern County,6392,286.08,22.34
DELHI UNIFIED,California,CALIFORNIA,="0600039",Merced County,2504,105.29,23.78
DELPHIC ELEMENTARY,California,CALIFORNIA,="0610980",Siskiyou County,59,3.00,19.67
DELTA ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601979",Yolo County,405,13.25,30.57
DENAIR UNIFIED,California,CALIFORNIA,="0611040",Stanislaus County,1318,75.88,17.37
DESERT CENTER UNIFIED,California,CALIFORNIA,="0611100",Riverside County,20,2.00,10.00
DESERT SANDS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601784",Los Angeles County,801,38.60,20.75
DESERT SANDS UNIFIED,California,CALIFORNIA,="0611110",Riverside County,26982,1090.02,24.75
DESERT TRAILS PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602044",San Bernardino County,513,26.50,19.36
DESIGN TECH HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602324",San Mateo County,557,19.77,28.17
DI GIORGIO ELEMENTARY,California,CALIFORNIA,="0611130",Kern County,199,9.00,22.11
DIEGO HILLS CENTRAL PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602079",San Diego County,381,20.80,18.32
DIEGO VALLEY EAST PUBLIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602386",San Diego County,334,13.11,25.48
DIMENSIONS COLLABORATIVE DISTRICT,CALIFORNIA,CALIFORNIA,="0601991",San Diego County,553,22.56,24.51
DINUBA UNIFIED,California,CALIFORNIA,="0600065",Tulare County,6640,272.34,24.38
DISCOVERY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601591",Santa Clara County,553,26.50,20.87
DISCOVERY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601888",San Joaquin County,374,18.00,20.78
DISCOVERY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602290",San Diego County,879,36.17,24.30
DISCOVERY CHARTER II DISTRICT,CALIFORNIA,CALIFORNIA,="0602410",Santa Clara County,574,25.60,22.42
DISCOVERY CHARTER PREPARATORY #2 DISTRICT,CALIFORNIA,CALIFORNIA,="0602255",Los Angeles County,232,16.00,14.50
DIXON MONTESSORI CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602252",Solano County,451,19.15,23.55
DIXON UNIFIED,California,CALIFORNIA,="0611280",Solano County,2956,128.02,23.09
DOS PALOS ORO LOMA JOINT UNIFIED,California,CALIFORNIA,="0600033",Merced County,2292,107.51,21.32
DOUGLAS CITY ELEMENTARY,California,CALIFORNIA,="0611430",Trinity County,171,10.70,15.98
DOWNEY UNIFIED,California,CALIFORNIA,="0611460",Los Angeles County,22216,903.84,24.58
DOWNTOWN CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601493",Alameda County,318,14.00,22.71
DOWNTOWN COLLEGE PREP - ALUM ROCK DISTRICT,CALIFORNIA,CALIFORNIA,="0601656",Santa Clara County,669,33.70,19.85
DOWNTOWN COLLEGE PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0601597",Santa Clara County,549,23.30,23.56
DOWNTOWN COLLEGE PREPARATORY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602251",Santa Clara County,492,20.00,24.60
DOWNTOWN VALUE DISTRICT,CALIFORNIA,CALIFORNIA,="0601907",Los Angeles County,442,18.00,24.56
DR. LEWIS DOLPHIN STALLWORTH SR. CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601748",San Joaquin County,241,9.00,26.78
DRY CREEK JOINT ELEMENTARY,California,CALIFORNIA,="0611490",Placer County,6335,300.30,21.10
DUARTE UNIFIED,California,CALIFORNIA,="0611520",Los Angeles County,3301,152.38,21.66
DUBLIN UNIFIED,California,CALIFORNIA,="0600019",Alameda County,12625,549.91,22.96
DUCOR UNION ELEMENTARY,California,CALIFORNIA,="0611550",Tulare County,142,10.00,14.20
DUNHAM ELEMENTARY,California,CALIFORNIA,="0611610",Sonoma County,156,8.00,19.50
DUNSMUIR ELEMENTARY,California,CALIFORNIA,="0611670",Siskiyou County,81,4.00,20.25
DUNSMUIR JOINT UNION HIGH,California,CALIFORNIA,="0611700",Siskiyou County,54,5.99,9.02
DURHAM UNIFIED,California,CALIFORNIA,="0611730",Butte County,991,48.30,20.52
E3 CIVIC HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602350",San Diego County,425,25.10,16.93
EARLIMART ELEMENTARY,California,CALIFORNIA,="0611760",Tulare County,1581,68.50,23.08
EAST BAY INNOVATION ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602192",Alameda County,630,27.50,22.91
EAST MERCED COUNTY PUBLIC FACILITIES FINANCING AUTHORITY,California,CALIFORNIA,="0601396",Merced County,†,†,†
EAST NICOLAUS JOINT UNION HIGH,California,CALIFORNIA,="0611780",Sutter County,309,15.84,19.51
EAST PALO ALTO ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601901",San Mateo County,369,25.40,14.53
EAST SAN GABRIEL VALLEY ROP,California,CALIFORNIA,="0601356",Los Angeles County,†,†,†
EAST SAN GABRIEL VALLEY ROP,California,CALIFORNIA,="0600105",Los Angeles County,="0",–,–
EAST SIDE UNION HIGH,California,CALIFORNIA,="0611820",Santa Clara County,22488,959.63,23.43
EAST VALLEY SCHOOL TRANSPORTATION JPA,California,CALIFORNIA,="0601381",Santa Clara County,†,†,†
EAST WHITTIER CITY ELEMENTARY,California,CALIFORNIA,="0611850",Los Angeles County,8230,343.11,23.99
EASTERN SIERRA UNIFIED,California,CALIFORNIA,="0611870",Mono County,400,32.27,12.40
EASTSIDE UNION ELEMENTARY,California,CALIFORNIA,="0611910",Los Angeles County,3167,134.84,23.49
ECADEMY CHARTER AT CRANE DISTRICT,CALIFORNIA,CALIFORNIA,="0601661",Stanislaus County,98,5.90,16.61
EDEN AREA ROP,California,CALIFORNIA,="0600085",Alameda County,="0",–,–
EDEN AREA ROP JPA,California,CALIFORNIA,="0601380",Alameda County,†,†,†
EDISON ELEMENTARY,California,CALIFORNIA,="0611940",Kern County,1012,48.00,21.08
EDISON-BETHUNE CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601588",Fresno County,480,20.01,23.99
EDNOVATE - BRIO COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0601799",Los Angeles County,420,17.20,24.42
EDNOVATE - EAST COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0601968",Los Angeles County,384,15.30,25.10
EDNOVATE - ESPERANZA COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602004",Los Angeles County,470,19.40,24.23
EDNOVATE - LEGACY COLLEGE PREP. DISTRICT,CALIFORNIA,CALIFORNIA,="0602043",Orange County,336,14.60,23.01
EDNOVATE - USC HYBRID HIGH COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602345",Los Angeles County,550,20.30,27.09
EDNOVATE COLLEGE PREP 7 DISTRICT,CALIFORNIA,CALIFORNIA,="0602540",Los Angeles County,126,5.00,25.20
EDUCATION TECHNOLOGY JPA,CALIFORNIA,CALIFORNIA,="0602525",Fresno County,†,†,†
EDWARD B. COLE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602130",Orange County,406,17.00,23.88
EEL RIVER CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601644",Mendocino County,64,3.00,21.33
EJE ELEMENTARY ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601830",San Diego County,536,26.50,20.23
EJE MIDDLE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601859",San Diego County,247,13.00,19.00
EL CAMINO REAL CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601902",Los Angeles County,3661,134.15,27.29
EL CENTRO ELEMENTARY,California,CALIFORNIA,="0612030",Imperial County,5292,222.14,23.82
EL DORADO COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691006",El Dorado County,826,68.61,12.04
EL DORADO UNION HIGH,California,CALIFORNIA,="0612070",El Dorado County,6846,285.55,23.97
EL MONTE CITY,California,CALIFORNIA,="0612090",Los Angeles County,7589,348.86,21.75
EL MONTE UNION HIGH,California,CALIFORNIA,="0612120",Los Angeles County,8358,374.65,22.31
EL NIDO ELEMENTARY,California,CALIFORNIA,="0612150",Merced County,157,9.00,17.44
EL RANCHO UNIFIED,California,CALIFORNIA,="0612180",Los Angeles County,7985,340.21,23.47
EL RIO COMMUNITY DISTRICT,CALIFORNIA,CALIFORNIA,="0602546",Los Angeles County,116,5.53,20.98
EL SEGUNDO UNIFIED,California,CALIFORNIA,="0612210",Los Angeles County,3448,141.78,24.32
EL SOL SANTA ANA SCIENCE AND ARTS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601758",Orange County,921,43.00,21.42
EL TEJON UNIFIED,California,CALIFORNIA,="0600026",Kern County,699,34.38,20.33
ELEANOR ROOSEVELT COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602036",Tulare County,317,12.00,26.42
ELEVATE DISTRICT,CALIFORNIA,CALIFORNIA,="0601503",San Diego County,366,18.00,20.33
ELITE ACAD ACADEMY - ADULT WORK FORCE INVESTMENT DISTRICT,CALIFORNIA,CALIFORNIA,="0601956",San Bernardino County,79,4.50,17.56
ELITE ACADEMIC ACADEMY - LUCERNE DISTRICT,CALIFORNIA,CALIFORNIA,="0602207",Riverside County,340,30.81,11.04
ELITE ACADEMIC ACADEMY - MOUNTAIN EMPIRE DISTRICT,CALIFORNIA,CALIFORNIA,="0602288",Riverside County,614,36.16,16.98
ELITE PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0602485",Solano County,474,21.00,22.57
ELK GROVE UNIFIED,California,CALIFORNIA,="0612330",Sacramento County,63157,2722.23,23.20
ELK HILLS ELEMENTARY,California,CALIFORNIA,="0612360",Kern County,171,9.00,19.00
ELVERTA JOINT ELEMENTARY,California,CALIFORNIA,="0612600",Sacramento County,271,10.00,27.10
EMERY UNIFIED,California,CALIFORNIA,="0612630",Alameda County,698,37.00,18.86
EMPIRE SPRINGS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601701",San Bernardino County,1625,51.40,31.61
EMPIRE UNION ELEMENTARY,California,CALIFORNIA,="0612690",Stanislaus County,2866,122.50,23.40
EMPOWER CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602375",San Diego County,139,7.00,19.86
EMPOWER GENERATIONS DISTRICT,CALIFORNIA,CALIFORNIA,="0601947",Los Angeles County,85,4.00,21.25
EMPOWERING POSSIBILITIES INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602147",Yolo County,372,22.00,16.91
ENCINITAS UNION ELEMENTARY,California,CALIFORNIA,="0612750",San Diego County,4918,224.02,21.95
ENCORE JR./SR. HIGH SCH FOR THE PERF & VISUAL ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601523",San Bernardino County,858,43.50,19.72
ENDEAVOR CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602538",Fresno County,293,13.26,22.10
ENDEAVOR COLLEGE PREPARATORY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601883",Los Angeles County,629,19.00,33.11
ENTERPRISE ELEMENTARY,California,CALIFORNIA,="0612810",Shasta County,3680,161.66,22.76
ENTREPRENEUR HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602326",San Bernardino County,567,15.00,37.80
ENVIRONMENTAL CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602076",Los Angeles County,521,27.00,19.30
ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD DISTRICT,CALIFORNIA,CALIFORNIA,="0601540",Los Angeles County,358,16.50,21.70
ENVIRONMENTAL CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601708",Los Angeles County,346,14.00,24.71
ENVISION ACADEMY FOR ARTS & TECHNOLOGY DISTRICT,CALIFORNIA,CALIFORNIA,="0601614",Alameda County,408,24.10,16.93
EPIC CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602223",Alameda County,†,†,†
EPIC CHRTR(EXCELLENCE PERF INNOVATION CITZENSHIP) DIST,CALIFORNIA,CALIFORNIA,="0601519",Orange County,783,30.35,25.80
EPIC DE CESAR CHAVEZ DISTRICT,CALIFORNIA,CALIFORNIA,="0601762",Kern County,687,22.95,29.93
EPIPHANY PREP CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601739",San Diego County,706,31.00,22.77
EQUITAS ACADEMY #2 DISTRICT,CALIFORNIA,CALIFORNIA,="0602484",Los Angeles County,408,19.50,20.92
EQUITAS ACADEMY #3 CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601944",Los Angeles County,430,–,–
EQUITAS ACADEMY 4 DISTRICT,CALIFORNIA,CALIFORNIA,="0602128",Los Angeles County,264,11.25,23.47
EQUITAS ACADEMY 5 DISTRICT,CALIFORNIA,CALIFORNIA,="0602522",Los Angeles County,110,5.00,22.00
EQUITAS ACADEMY 6 DISTRICT,CALIFORNIA,CALIFORNIA,="0602504",Los Angeles County,161,7.00,23.00
EQUITAS ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602425",Los Angeles County,466,17.00,27.41
ESCALON CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602104",San Joaquin County,346,14.08,24.57
ESCALON UNIFIED,California,CALIFORNIA,="0612840",San Joaquin County,2628,123.12,21.35
ESCONDIDO CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602443",San Diego County,929,53.50,17.36
ESCONDIDO UNION,California,CALIFORNIA,="0612880",San Diego County,14197,747.41,18.99
ESCONDIDO UNION HIGH,California,CALIFORNIA,="0612910",San Diego County,7118,314.78,22.61
ESCUELA POPULAR ACCELERATED FAMILY LEARNING DISTRICT,CALIFORNIA,CALIFORNIA,="0601906",Santa Clara County,349,16.40,21.28
ESCUELA POPULAR/CTR FOR TRN AND CAREERS FAM LRNG DISTRICT,CALIFORNIA,CALIFORNIA,="0602392",Santa Clara County,414,16.35,25.32
ESPARTO UNIFIED,California,CALIFORNIA,="0612930",Yolo County,934,43.39,21.53
ETIWANDA ELEMENTARY,California,CALIFORNIA,="0612960",San Bernardino County,13478,571.97,23.56
EUREKA CITY SCHOOLS,California,CALIFORNIA,="0600052",Humboldt County,3540,161.84,21.87
EUREKA UNION,California,CALIFORNIA,="0613080",Placer County,3149,134.84,23.35
EVEREST PUBLIC HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602229",San Mateo County,361,26.80,13.47
EVEREST VALUE DISTRICT,CALIFORNIA,CALIFORNIA,="0602085",Los Angeles County,236,9.00,26.22
EVERGREEN ELEMENTARY,California,CALIFORNIA,="0613140",Santa Clara County,9789,408.90,23.94
EVERGREEN UNION,California,CALIFORNIA,="0613170",Tehama County,1175,67.01,17.53
EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602487",Orange County,518,41.38,12.52
EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602500",Orange County,1187,58.80,20.19
EXCELSIOR CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602313",San Bernardino County,2044,75.06,27.23
EXCELSIOR CHARTER SCHOOL CORONA-NORCO DISTRICT,CALIFORNIA,CALIFORNIA,="0601966",Riverside County,125,6.19,20.19
EXETER UNIFIED,California,CALIFORNIA,="0601423",Tulare County,2637,116.83,22.57
EXTERA PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0601804",Los Angeles County,467,21.00,22.24
EXTERA PUBLIC SCHOOL NO. 2 DISTRICT,CALIFORNIA,CALIFORNIA,="0601795",Los Angeles County,381,17.00,22.41
EZEQUIEL TAFOYA ALVARADO ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602153",Madera County,604,23.00,26.26
FAIRFAX ELEMENTARY,California,CALIFORNIA,="0613290",Kern County,2703,114.00,23.71
FAIRFIELD-SUISUN UNIFIED,California,CALIFORNIA,="0613360",Solano County,20703,886.66,23.35
FALL RIVER JOINT UNIFIED,California,CALIFORNIA,="0613470",Shasta County,1192,66.30,17.98
FALLBROOK UNION ELEMENTARY,California,CALIFORNIA,="0613500",San Diego County,4756,228.01,20.86
FALLBROOK UNION HIGH,California,CALIFORNIA,="0613530",San Diego County,2155,103.39,20.84
FAMILY FIRST CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601605",Los Angeles County,375,11.00,34.09
FAMILY PARTNERSHIP CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602378",Santa Barbara County,481,21.55,22.32
FARMERSVILLE UNIFIED,California,CALIFORNIA,="0600035",Tulare County,2484,110.63,22.45
FEASTER (MAE L.) CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602173",San Diego County,1122,54.80,20.47
FENTON AVENUE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602126",Los Angeles County,612,27.67,22.12
FENTON CHARTER LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602456",Los Angeles County,355,16.00,22.19
FENTON PRIMARY CENTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602242",Los Angeles County,627,28.00,22.39
FENTON STEM ACAD: ELEM CTR FOR SCI TECH ENGR & MATH DISTRICT,CALIFORNIA,CALIFORNIA,="0601613",Los Angeles County,343,15.00,22.87
FERNDALE UNIFIED,California,CALIFORNIA,="0600037",Humboldt County,454,30.32,14.97
FIELDBROOK ELEMENTARY,California,CALIFORNIA,="0613740",Humboldt County,116,6.00,19.33
FILLMORE UNIFIED,California,CALIFORNIA,="0613800",Ventura County,3626,164.86,21.99
FIREBAUGH-LAS DELTAS UNIFIED,California,CALIFORNIA,="0613840",Fresno County,2178,102.36,21.28
FIVE KEYS ADULT SCHOOL (SF SHERIFF'S) DISTRICT,CALIFORNIA,CALIFORNIA,="0601583",San Francisco County,328,9.90,33.13
FIVE KEYS CHARTER (SF SHERIFF'S) DISTRICT,CALIFORNIA,CALIFORNIA,="0601998",San Mateo County,110,5.42,20.30
FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S) DISTRICT,CALIFORNIA,CALIFORNIA,="0602118",San Francisco County,2434,91.66,26.55
FLOURNOY UNION ELEMENTARY,California,CALIFORNIA,="0613860",Tehama County,42,2.00,21.00
FOLSOM-CORDOVA UNIFIED,California,CALIFORNIA,="0613890",Sacramento County,20096,911.19,22.05
FONTANA UNIFIED,California,CALIFORNIA,="0613920",San Bernardino County,35461,1704.30,20.81
FOREST RANCH CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601895",Butte County,122,7.85,15.54
FORESTHILL UNION ELEMENTARY,California,CALIFORNIA,="0613980",Placer County,392,21.00,18.67
FORESTVILLE UNION ELEMENTARY,California,CALIFORNIA,="0614010",Sonoma County,267,14.00,19.07
FORKS OF SALMON ELEMENTARY,California,CALIFORNIA,="0614040",Siskiyou County,8,1.00,8.00
FORT BRAGG UNIFIED,California,CALIFORNIA,="0614070",Mendocino County,1695,90.92,18.64
FORT ROSS ELEMENTARY,California,CALIFORNIA,="0614130",Sonoma County,11,2.00,5.50
FORT SAGE UNIFIED,California,CALIFORNIA,="0600011",Lassen County,220,16.83,13.07
FORTUNA ELEMENTARY,California,CALIFORNIA,="0601420",Humboldt County,1029,58.33,17.64
FORTUNA UNION HIGH,California,CALIFORNIA,="0614190",Humboldt County,1138,53.31,21.35
FORTUNE DISTRICT,CALIFORNIA,CALIFORNIA,="0602432",Sacramento County,1890,74.25,25.45
FORTY-NINER ROP,California,CALIFORNIA,="0600082",Placer County,="0",–,–
FOUNTAIN VALLEY ELEMENTARY,California,CALIFORNIA,="0614220",Orange County,6165,242.48,25.42
FOWLER UNIFIED,California,CALIFORNIA,="0614250",Fresno County,2582,118.60,21.77
FRANCOPHONE CHARTER SCHOOL OF OAKLAND DISTRICT,CALIFORNIA,CALIFORNIA,="0601839",Alameda County,311,13.00,23.92
FRANKLIN ELEMENTARY,California,CALIFORNIA,="0614340",Sutter County,464,20.00,23.20
FRANKLIN-MCKINLEY ELEMENTARY,California,CALIFORNIA,="0614370",Santa Clara County,6611,317.70,20.81
FREMONT UNIFIED,California,CALIFORNIA,="0614400",Alameda County,35187,1483.93,23.71
