ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
COAST UNIFIED,California,CALIFORNIA,="0600049",San Luis Obispo County,536,37.25,14.39
COASTAL ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602258",San Diego County,1981,75.72,26.16
COASTAL GROVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602168",Humboldt County,243,15.30,15.88
COASTLINE ROP,California,CALIFORNIA,="0600123",Orange County,="0",–,–
COASTLINE ROP JPA,California,CALIFORNIA,="0601357",Orange County,†,†,†
COFFEE CREEK ELEMENTARY,California,CALIFORNIA,="0609240",Trinity County,8,1.01,7.92
COLD SPRING ELEMENTARY,California,CALIFORNIA,="0609270",Santa Barbara County,178,15.80,11.27
COLFAX ELEMENTARY,California,CALIFORNIA,="0609300",Placer County,342,19.40,17.63
COLLEGE AND CAREER ADVANTAGE,California,CALIFORNIA,="0600122",Orange County,="0",–,–
COLLEGE AND CAREER ADVANTAGE ROP JPA,California,CALIFORNIA,="0601347",Orange County,†,†,†
COLLEGE BRIDGE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601633",Los Angeles County,255,12.45,20.48
COLLEGE ELEMENTARY,California,CALIFORNIA,="0609330",Santa Barbara County,192,13.60,14.12
COLLEGE PREPARATORY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601638",San Diego County,402,16.00,25.13
COLLEGIATE CHARTER HIGH SCHOOL OF LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0602231",Los Angeles County,200,9.90,20.20
COLTON JOINT UNIFIED,California,CALIFORNIA,="0609390",San Bernardino County,20550,960.54,21.39
COLTON-REDLANDS-YUCAIPA ROP,California,CALIFORNIA,="0600130",San Bernardino County,="0",–,–
COLTON-REDLANDS-YUCAIPA ROP JPA,California,CALIFORNIA,="0601375",San Bernardino County,†,†,†
COLUMBIA ELEMENTARY,California,CALIFORNIA,="0609450",Shasta County,668,39.00,17.13
COLUMBIA UNION,California,CALIFORNIA,="0609480",Tuolumne County,433,23.99,18.05
COLUMBINE ELEMENTARY,California,CALIFORNIA,="0609510",Tulare County,186,9.60,19.38
COLUSA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691004",Colusa County,20,3.11,6.43
COLUSA UNIFIED,California,CALIFORNIA,="0609570",Colusa County,1529,72.10,21.21
