,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
10,ace empower academy district,CALIFORNIA,22.5,1,1,0,0,1,0,0,0,0,8.75,ACE Empower Academy District,602217.0,Santa Clara County,6085.0,1.0,CALIFORNIA,223,9,24.78
11,ace esperanza middle district,CALIFORNIA,20.33,0,0,0,0,0,0,1.5,0,0,7.33,ACE Esperanza Middle District,601852.0,Santa Clara County,6085.0,1.0,CALIFORNIA,244,9.5,25.68
12,ace inspire academy district,CALIFORNIA,25,0,1,0,0,0,0,0.5,0,0,9.75,ACE Inspire Academy District,602138.0,Santa Clara County,6085.0,1.0,CALIFORNIA,239,8.5,28.12
13,achieve academy district,CALIFORNIA,66.26,15.82,0,0,0,0,0,4.9,0.33,1.1,16.61,Achieve Academy District,602165.0,Alameda County,6001.0,1.0,CALIFORNIA,607,24.5,24.78
14,achieve charter high district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,Achieve Charter High District,601615.0,Butte County,6007.0,0.0,CALIFORNIA,†,†,†
15,achieve charter school of paradise inc. district,CALIFORNIA,29.2,12.8,0,0,0,1,0,1,0,0.4,1,Achieve Charter School of Paradise Inc. District,602133.0,Butte County,6007.0,1.0,CALIFORNIA,216,10,21.6
16,ackerman charter,California,47.82,4.2,0,0,1,0.5,0,1.4,0.17,1,9.4,Ackerman Charter,601680.0,Placer County,6061.0,1.0,CALIFORNIA,571,26.4,21.63
17,acton-agua dulce unified,California,119.65,23.99,2,1,0,3,0,3.9,2,0,25.29,Acton-Agua Dulce Unified,600001.0,Los Angeles County,6037.0,3.0,CALIFORNIA,919,46.62,19.71
18,adelante charter district,CALIFORNIA,25.43,5.55,0,0,0,1,0,0,0,0,3.88,Adelante Charter District,602343.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,302,13,23.23
19,adelanto elementary,California,777.12,71.38,6,6,0,3,0,29,4,6,227,Adelanto Elementary,601710.0,San Bernardino County,6071.0,15.0,CALIFORNIA,7817,365.99,21.36
20,aerostem academy district,CALIFORNIA,10.18,0,0,0.4,0,0.4,0,0,0.18,0,0,AeroSTEM Academy District,601724.0,Sutter County,6101.0,1.0,CALIFORNIA,139,6.2,22.42
21,agnes j. johnson charter district,CALIFORNIA,10,3,0,0,0,0,0,1,0,0,1,Agnes J. Johnson Charter District,602543.0,Humboldt County,6023.0,1.0,CALIFORNIA,98,4,24.5
22,alain leroy locke college preparatory academy district,CALIFORNIA,114.46,18,6,0.15,0,0,0,10,0,3,0,Alain Leroy Locke College Preparatory Academy District,602092.0,Los Angeles County,6037.0,1.0,CALIFORNIA,1386,71.31,19.44
23,alameda cnty. student exchange prog.,California,–,–,†,–,–,–,–,–,–,–,–,Alameda Cnty. Student Exchange Prog.,601355.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
24,alameda community learning center district,CALIFORNIA,27.97,2,2.11,0.46,0,0.16,0,1.7,0,0,4.2,Alameda Community Learning Center District,601664.0,Alameda County,6001.0,1.0,CALIFORNIA,358,15.44,23.19
25,alameda county office of education,California,158.56,20.13,0,0,0,5.5,0,3,0.9,0,76.26,Alameda County Office of Education,691051.0,Alameda County,6001.0,5.0,CALIFORNIA,289,17.75,16.28
26,alameda unified,California,837.6,113.96,15.5,10,0,5,0,25,15.3,10,130.6,Alameda Unified,601770.0,Alameda County,6001.0,16.0,CALIFORNIA,9071,413.35,21.95
27,albany city unified,California,307.05,36.07,7.59,2,4,1.8,0,6.97,3.4,0,56.2,Albany City Unified,601860.0,Alameda County,6001.0,6.0,CALIFORNIA,3501,166.07,21.08
